plate_radius,plate_mass_t,d_over_d,l_over_d,r_foot_over_r,rho_impact,e_eff,e_eff_lo,e_eff_hi,eta_capture,focusing_factor,peak_compressive,f,f_lo,f_hi,survives_baseline,survives_relaxed
12.0,21.171821211072338,0.1,0.3,0.7,0.08950782801752387,0.41939309294865557,0.40098070651802586,0.5109777977222512,0.9687577711723405,1.7203489413182185,897453793.2036104,0.6875240445711772,0.6786054733509269,0.7318857418061498,False,True
12.0,22.18969723083543,0.15,0.3,0.7,0.08950782801752387,0.41939309294865557,0.40098070651802586,0.5109777977222512,0.9612496787475207,1.9285718352082186,1006077352.9159929,0.6821955773066725,0.6733461270359635,0.7262134613275751,False,False
12.0,20.35752039526186,0.0,0.6,0.3,0.568540463148346,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8762356399767697,1.0,3313568196.1961823,0.6455430563544547,0.6230877794195465,0.6934151183861885,False,False
12.0,21.171821211072338,0.1,0.6,0.3,0.568540463148346,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9341076518363784,1.2620098003235947,4181755537.6401577,0.6881787056122544,0.6642403435415688,0.7392125341999773,False,False
12.0,22.18969723083543,0.15,0.6,0.3,0.568540463148346,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.922065829395802,1.5730536268921136,5212420468.980763,0.679307216588396,0.6556774501115981,0.7296831549414036,False,False
12.0,20.35752039526186,0.0,0.6,0.5,0.12280474004004269,0.4478144916729414,0.40941742826891986,0.5495996994963017,0.8676099067228468,1.0,715730730.378375,0.6280690980361733,0.611412261736976,0.6722240253688688,False,True
12.0,21.171821211072338,0.1,0.6,0.5,0.12280474004004269,0.4478144916729414,0.40941742826891986,0.5495996994963017,0.9478263822917862,1.6543321066613133,1184056326.9890976,0.6861383859359927,0.6679415110875616,0.7343757385870093,False,False
12.0,22.18969723083543,0.15,0.6,0.5,0.12280474004004269,0.4478144916729414,0.40941742826891986,0.5495996994963017,0.935378256573032,1.9719425745429133,1411379899.1418126,0.6771270975311032,0.6591692084189142,0.7247309326504725,False,False
12.0,20.35752039526186,0.0,0.6,0.7,0.044753914008761934,0.4270612985663862,0.36513754236783225,0.4335225592802018,0.8516414958884525,1.0,260834814.2778336,0.6076723095177974,0.5813038893378132,0.6104236483876169,True,True
12.0,21.171821211072338,0.1,0.6,0.7,0.044753914008761934,0.4270612985663862,0.36513754236783225,0.4335225592802018,0.9134980291407299,1.8386648788564666,479587812.1957019,0.6518088418517022,0.6235252272295172,0.6547600163156196,False,True
12.0,22.18969723083543,0.15,0.6,0.7,0.044753914008761934,0.4270612985663862,0.36513754236783225,0.4335225592802018,0.9296974177958603,2.0248958634958796,528163336.4869013,0.6633676021567882,0.6345824240377803,0.6663711108574584,False,True
12.0,20.35752039526186,0.0,1.0,0.3,0.3411242778890076,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8351605669227239,1.0,1988140917.7177093,0.6152821002947421,0.5938794536095856,0.6609100759694618,False,False
12.0,21.171821211072338,0.1,1.0,0.3,0.3411242778890076,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9237095267874664,1.5571606568908787,3095854817.4249425,0.6805181664625247,0.6568462769785777,0.7309839062113043,False,False
12.0,22.18969723083543,0.15,1.0,0.3,0.3411242778890076,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9195513731158785,1.8625062974422153,3702924979.451779,0.6774547585075372,0.6538894299621933,0.7276933226183697,False,False
12.0,20.35752039526186,0.0,1.0,0.5,0.07368284402402563,0.4026382338360726,0.3980362969223997,0.48753520513408216,0.8205366236353576,1.0,429438438.2270251,0.5754580202868561,0.5735699913981921,0.6102885573797244,False,True
12.0,21.171821211072338,0.1,1.0,0.5,0.07368284402402563,0.4026382338360726,0.3980362969223997,0.48753520513408216,0.8882953840486297,1.8317252666512955,786613237.7717135,0.6229785343033529,0.6209345946443037,0.6606853281652184,False,True
12.0,22.18969723083543,0.15,1.0,0.5,0.07368284402402563,0.4026382338360726,0.3980362969223997,0.48753520513408216,0.9115454545792234,2.1734864761416115,933378637.8218138,0.6392842532361509,0.6371868158981916,0.6779779773832727,False,False
12.0,20.35752039526186,0.0,1.0,0.7,0.026852348405257163,0.3848060666753519,0.3345286449574257,0.5034975648661764,0.7936265883876891,1.0,156500888.56670016,0.5495094571370671,0.5295587078016036,0.5966078215269709,True,True
12.0,21.171821211072338,0.1,1.0,0.7,0.026852348405257163,0.3848060666753519,0.3345286449574257,0.5034975648661764,0.8829985255411649,2.1425329201875902,335308305.7927647,0.6113908575173979,0.5891934128949278,0.6637930664657828,True,True
12.0,22.18969723083543,0.15,1.0,0.7,0.026852348405257163,0.3848060666753519,0.3345286449574257,0.5034975648661764,0.8715894166770193,2.08153413499622,325761941.708826,0.6034911559321837,0.5815805215986077,0.6552162827685148,True,True
14.0,27.708847204661975,0.0,0.3,0.3,0.7160626241401905,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9199513067172531,1.0,4173357028.445335,0.6777493988389635,0.6541738212015207,0.7280098128327499,False,False
14.0,28.817201092848457,0.1,0.3,0.3,0.7160626241401905,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9717192808390559,1.1525355848419279,4809942483.533414,0.7158880623573212,0.6909858276629992,0.7689767562741678,False,False
14.0,30.202643453081556,0.15,0.3,0.3,0.7160626241401905,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9926095565300276,1.2095895544882451,5048049068.757579,0.7312784114853189,0.7058408220251262,0.7855084200532847,False,False
14.0,27.708847204661975,0.0,0.3,0.5,0.1546695268142812,0.47016372807710055,0.4205562719686957,0.5784730585529875,0.9163099624599944,1.0,901445118.1441926,0.6735628352421867,0.6508349321199726,0.7231852945134003,False,False
14.0,30.202643453081556,0.15,0.3,0.5,0.1546695268142812,0.47016372807710055,0.4205562719686957,0.5784730585529875,0.9677164437005982,1.6420945983340616,1480258159.1991885,0.7113508072961925,0.687347831793063,0.7637571673500516,False,False
14.0,27.708847204661975,0.0,0.3,0.7,0.056366445632026696,0.411691986673993,0.38220051619780904,0.4581922739948391,0.9085701308050995,1.0,328514984.746426,0.6413105864944503,0.6279130519003597,0.6624349725612383,True,True
14.0,28.817201092848457,0.1,0.3,0.7,0.056366445632026696,0.411691986673993,0.38220051619780904,0.4581922739948391,0.9687577711723405,1.7203489413182185,565160406.2156847,0.6837937912960754,0.669508745692524,0.7063175486479837,False,True
14.0,30.202643453081556,0.15,0.3,0.7,0.056366445632026696,0.411691986673993,0.38220051619780904,0.4581922739948391,0.9612496787475207,1.9285718352082186,633564747.0258147,0.6784942343404124,0.6643199010799006,0.7008434274648279,False,True
14.0,27.708847204661975,0.0,0.6,0.3,0.35803131207009525,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8762356399767697,1.0,2086678514.2226675,0.6455430563544547,0.6230877794195465,0.6934151183861885,False,False
14.0,28.817201092848457,0.1,0.6,0.3,0.35803131207009525,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9341076518363784,1.2620098003235947,2633408735.0736837,0.6881787056122544,0.6642403435415688,0.7392125341999773,False,False
14.0,30.202643453081556,0.15,0.6,0.3,0.35803131207009525,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.922065829395802,1.5730536268921136,3282457204.955814,0.679307216588396,0.6556774501115981,0.7296831549414036,False,False
14.0,27.708847204661975,0.0,0.6,0.5,0.0773347634071406,0.40680408940432233,0.39876838216565524,0.4933638697746755,0.8676099067228468,1.0,450722559.0720963,0.6102785823927017,0.6067926527888057,0.6478286438792378,False,True
14.0,28.817201092848457,0.1,0.6,0.5,0.0773347634071406,0.40680408940432233,0.39876838216565524,0.4933638697746755,0.9478263822917862,1.6543321066613133,745644800.6695193,0.6667030153266946,0.6628947876661038,0.7077248370668964,False,True
14.0,30.202643453081556,0.15,0.6,0.5,0.0773347634071406,0.40680408940432233,0.39876838216565524,0.4933638697746755,0.935378256573032,1.9719425745429133,888799003.5411999,0.6579469782434134,0.6541887653297955,0.6984300464694961,False,True
14.0,27.708847204661975,0.0,0.6,0.7,0.028183222816013348,0.3892616779583407,0.3372357927599138,0.4951277630365522,0.8516414958884525,1.0,164257492.373213,0.5915764467984714,0.5694227454508168,0.6366564223284026,True,True
14.0,28.817201092848457,0.1,0.6,0.7,0.028183222816013348,0.3892616779583407,0.3372357927599138,0.4951277630365522,0.9134980291407299,1.8386648788564666,302014482.31566066,0.6345439023878438,0.6107811305913114,0.6828981324237393,True,True
14.0,30.202643453081556,0.15,0.6,0.7,0.028183222816013348,0.3892616779583407,0.3372357927599138,0.4951277630365522,0.9296974177958603,2.0248958634958796,332604316.854725,0.6457964973203068,0.6216123317565461,0.6950082102849918,True,True
14.0,27.708847204661975,0.0,1.0,0.3,0.2148187872420572,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8351605669227239,1.0,1252007108.5336008,0.6152821002947421,0.5938794536095856,0.6609100759694618,False,False
14.0,28.817201092848457,0.1,1.0,0.3,0.2148187872420572,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9237095267874664,1.5571606568908787,1949576211.5562315,0.6805181664625247,0.6568462769785777,0.7309839062113043,False,False
14.0,30.202643453081556,0.15,1.0,0.3,0.2148187872420572,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9195513731158785,1.8625062974422153,2331871124.086251,0.6774547585075372,0.6538894299621933,0.7276933226183697,False,False
14.0,27.708847204661975,0.0,1.0,0.5,0.046400858044284364,0.42465365237003705,0.3678105054990236,0.4373871398947128,0.8205366236353576,1.0,270433535.4432578,0.5844902488827454,0.5611693069775703,0.5897143953130456,True,True
14.0,28.817201092848457,0.1,1.0,0.5,0.046400858044284364,0.42465365237003705,0.3678105054990236,0.4373871398947128,0.8882953840486297,1.8317252666512955,495359939.821254,0.6327566316341625,0.6075098791440027,0.6384121807296678,False,True
14.0,30.202643453081556,0.15,1.0,0.5,0.046400858044284364,0.42465365237003705,0.3678105054990236,0.4373871398947128,0.9115454545792234,2.1734864761416115,587783631.981084,0.6493182805837981,0.6234107245066723,0.6551218569208279,False,True
14.0,27.708847204661975,0.0,1.0,0.7,0.016909933689608005,0.35766901027433184,0.3180406665553386,0.5544741357315581,0.7936265883876891,1.0,98554495.4239278,0.5387411123918542,0.5230160587772745,0.616836002538769,True,True
14.0,28.817201092848457,0.1,1.0,0.7,0.016909933689608005,0.35766901027433184,0.3180406665553386,0.5544741357315581,0.8829985255411649,2.1425329201875902,211156250.87824252,0.5994098671225838,0.581913982585829,0.6862991849214212,True,True
14.0,30.202643453081556,0.15,1.0,0.7,0.016909933689608005,0.35766901027433184,0.3180406665553386,0.5544741357315581,0.8715894166770193,2.08153413499622,205144546.38223448,0.5916649703527355,0.5743951478597786,0.6774316026008912,True,True
16.0,36.19114736935442,0.0,0.3,0.3,0.47970601578141686,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9199513067172531,1.0,2795823165.5405283,0.6777493988389635,0.6541738212015207,0.7280098128327499,False,False
16.0,37.638793264128594,0.1,0.3,0.3,0.47970601578141686,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9717192808390559,1.1525355848419279,3222285687.210863,0.7158880623573212,0.6909858276629992,0.7689767562741678,False,False
16.0,39.448350632596316,0.15,0.3,0.3,0.47970601578141686,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9926095565300276,1.2095895544882451,3381798497.2340827,0.7312784114853189,0.7058408220251262,0.7855084200532847,False,False
16.0,36.19114736935442,0.0,0.3,0.5,0.10361649940878603,0.4319982852300576,0.4031958757927229,0.5286143761716946,0.9163099624599944,1.0,603897803.756754,0.6560771474909652,0.6428811801358245,0.7003422908228466,False,True
16.0,39.448350632596316,0.15,0.3,0.5,0.10361649940878603,0.4319982852300576,0.4031958757927229,0.5286143761716946,0.9677164437005982,1.6420945983340616,991657321.494769,0.6928841439840931,0.6789478613687401,0.7396326339492404,False,False
16.0,36.19114736935442,0.0,0.3,0.7,0.03776111494489288,0.41620825384122445,0.3536080386881968,0.4445090070899207,0.9085701308050995,1.0,220079374.5469221,0.6433622592198914,0.6149239163848846,0.6562188687604168,True,True
16.0,37.638793264128594,0.1,0.3,0.7,0.03776111494489288,0.41620825384122445,0.3536080386881968,0.4445090070899207,0.9687577711723405,1.7203489413182185,378613319.0077731,0.6859813757535485,0.6556591533002704,0.6996896630734011,True,True
16.0,39.448350632596316,0.15,0.3,0.7,0.03776111494489288,0.41620825384122445,0.3536080386881968,0.4445090070899207,0.9612496787475207,1.9285718352082186,424438883.26143444,0.6806648645222321,0.6505776461695454,0.6942669095065431,False,True
16.0,36.19114736935442,0.0,0.6,0.3,0.23985300789070843,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.8762356399767697,1.0,1397911582.7702641,0.6455430563544547,0.6230877794195465,0.6934151183861885,False,False
16.0,37.638793264128594,0.1,0.6,0.3,0.23985300789070843,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.9341076518363784,1.2620098003235947,1764178117.4419413,0.6881787056122544,0.6642403435415688,0.7392125341999773,False,False
16.0,39.448350632596316,0.15,0.6,0.3,0.23985300789070843,0.4734462441440275,0.4221922756670009,0.5827137969520892,0.922065829395802,1.5730536268921136,2198989885.351259,0.679307216588396,0.6556774501115981,0.7296831549414036,False,False
16.0,36.19114736935442,0.0,0.6,0.5,0.05180824970439302,0.4173098415539434,0.3759635869541098,0.4491748971488917,0.8676099067228468,1.0,301948901.878377,0.6148360297139948,0.5968998196656444,0.6286592486702205,True,True
16.0,37.638793264128594,0.1,0.6,0.5,0.05180824970439302,0.4173098415539434,0.3759635869541098,0.4491748971488917,0.9478263822917862,1.6543321066613133,499523762.9485256,0.6716818298533094,0.6520872943939717,0.6867831000363527,False,True
16.0,39.448350632596316,0.15,0.6,0.5,0.05180824970439302,0.4173098415539434,0.3759635869541098,0.4491748971488917,0.935378256573032,1.9719425745429133,595425894.9504523,0.6628604043082639,0.6435232105365554,0.6777633443822667,False,True
