closing_speed_km_s,rho_kg_m3,dissipated_MJ_kg,temp_K,pressure_Pa,ionised_fraction,dissociated_fraction,n_e_m3
56.53,0.8,150.4872,21359.0,2.862420e+07,0.209875,1.000000,1.683795e+25
58,0.8,158.4155,21973.2,3.003537e+07,0.234040,1.000000,1.877665e+25
60,0.8,169.5291,22798.3,3.201778e+07,0.267876,1.000000,2.149123e+25
62,0.8,181.0194,23618.7,3.408181e+07,0.302733,1.000000,2.428778e+25
64,0.8,192.8864,24441.2,3.623758e+07,0.338524,1.000000,2.715919e+25
66,0.8,205.1302,25272.2,3.849525e+07,0.375158,1.000000,3.009832e+25
68,0.8,217.7507,26118.2,4.086540e+07,0.412543,1.000000,3.309761e+25
70,0.8,230.7479,26985.6,4.335935e+07,0.450574,1.000000,3.614880e+25
72,0.8,244.1219,27881.3,4.598949e+07,0.489136,1.000000,3.924261e+25
74,0.8,257.8726,28812.9,4.876958e+07,0.528097,1.000000,4.236835e+25
76,0.8,272.0000,29788.8,5.171496e+07,0.567299,1.000000,4.551343e+25
44,1.3,91.1690,15343.9,2.854040e+07,0.033383,0.999997,4.352144e+24
45.58,1.3,97.8341,16492.8,3.117046e+07,0.049992,0.999998,6.517451e+24
46,1.3,99.6454,16773.9,3.184449e+07,0.054720,0.999998,7.133909e+24
48,1.3,108.4986,18010.8,3.497086e+07,0.078719,0.999999,1.026268e+25
50,1.3,117.7285,19125.3,3.803216e+07,0.104785,0.999999,1.366092e+25
52,1.3,127.3352,20158.5,4.109478e+07,0.132567,0.999999,1.728292e+25
54,1.3,137.3186,21136.5,4.420207e+07,0.161837,1.000000,2.109885e+25
56,1.3,147.6787,22077.2,4.738505e+07,0.192430,1.000000,2.508731e+25
56.53,1.3,150.4872,22322.0,4.824439e+07,0.200742,1.000000,2.617099e+25
58,1.3,158.4155,22993.7,5.066786e+07,0.224219,1.000000,2.923164e+25
60,1.3,169.5291,23896.2,5.407070e+07,0.257096,1.000000,3.351786e+25
62,1.3,181.0194,24793.1,5.761159e+07,0.290965,1.000000,3.793341e+25
64,1.3,192.8864,25691.7,6.130753e+07,0.325734,1.000000,4.246634e+25
66,1.3,205.1302,26598.7,6.517528e+07,0.361313,1.000000,4.710471e+25
68,1.3,217.7507,27520.6,6.923197e+07,0.397604,1.000000,5.183610e+25
70,1.3,230.7479,28463.9,7.349557e+07,0.434507,1.000000,5.664709e+25
72,1.3,244.1219,29435.3,7.798529e+07,0.471906,1.000000,6.152285e+25
74,1.3,257.8726,30442.0,8.272179e+07,0.509672,1.000000,6.644652e+25
76,1.3,272.0000,31491.7,8.772731e+07,0.547657,1.000000,7.139866e+25
