d_over_d,l_over_d,r_foot_over_r,mach,v,e_eff,eta_capture,rho_impact,focusing_factor,peak_compressive,reflected_tensile,back_face_tensile,f,survives_baseline,survives_relaxed
0.1,1.0,0.7,10.0,16000.0,0.63,0.8603105362691736,0.09280171608856873,1.945455214274931,57405183.05149213,8610777.457723819,48794405.59376831,0.7011530870593765,True,True
0.15,1.0,0.7,10.0,16000.0,0.63,0.8636276809967851,0.09280171608856873,2.03423039579812,60024701.3567066,9003705.20350599,51020996.153200604,0.7038565600123798,True,True
0.0,0.3,0.3,20.0,16000.0,0.63,0.918982539802641,3.929751681281366,1.0,1249507795.0429258,187426169.25643888,1062081625.786487,0.7489707699391523,False,False
0.1,0.3,0.3,20.0,16000.0,0.63,0.9715874989788841,3.929751681281366,1.1529738555064537,1440649819.93601,216097472.99040148,1224552346.9456084,0.7918438116677905,False,False
0.15,0.3,0.3,20.0,16000.0,0.63,0.9923668835044948,3.929751681281366,1.202917248607622,1503054478.926813,225458171.83902192,1277596307.087791,0.8087790100561632,False,False
0.0,0.3,0.5,20.0,16000.0,0.63,0.9139296557463357,0.8488263631567752,1.0,269893683.729272,40484052.5593908,229409631.1698812,0.7448526694332636,True,True
0.1,0.3,0.5,20.0,16000.0,0.63,0.9787331755205002,0.8488263631567752,1.2682439088344148,342291020.42253125,51343653.06337968,290947367.35915154,0.7976675380492076,True,True
0.15,0.3,0.5,20.0,16000.0,0.63,0.9704394374591813,0.8488263631567752,1.6401700297318869,442671531.2666885,66400729.690003276,376270801.57668525,0.7909081415292327,False,True
0.0,0.3,0.7,20.0,16000.0,0.63,0.90601076821791,0.3093390536285624,1.0,98357756.46110496,14753663.469165744,83604092.99193922,0.7383987760975966,True,True
0.1,0.3,0.7,20.0,16000.0,0.63,0.9665707662615003,0.3093390536285624,1.7297372922486312,170133079.33268198,25519961.899902295,144613117.43277967,0.7877551745031227,True,True
0.15,0.3,0.7,20.0,16000.0,0.63,0.9620311121185023,0.3093390536285624,1.943833170282661,191191069.56367955,28678660.434551932,162512409.12912762,0.7840553563765793,True,True
0.0,0.6,0.3,20.0,16000.0,0.63,0.8733497256896254,1.964875840640683,1.0,624753897.5214629,93713084.62821944,531040812.8932435,0.7117800264370446,False,True
0.1,0.6,0.3,20.0,16000.0,0.63,0.9319816961995729,1.964875840640683,1.2607999685819982,787689694.3665414,118153454.15498121,669536240.2115601,0.7595650824026519,False,True
0.15,0.6,0.3,20.0,16000.0,0.63,0.9245095270500742,1.964875840640683,1.574254981799876,983521935.5720522,147528290.33580783,835993645.2362444,0.7534752645458104,False,False
0.0,0.6,0.5,20.0,16000.0,0.63,0.8645456167550862,0.4244131815783876,1.0,134946841.864636,20242026.2796954,114704815.5849406,0.7046046776553953,True,True
0.1,0.6,0.5,20.0,16000.0,0.63,0.9464156991331913,0.4244131815783876,1.6541865111709695,223227245.53760275,33484086.830640413,189743158.70696235,0.7713287947935509,True,True
0.15,0.6,0.5,20.0,16000.0,0.63,0.9370977682885373,0.4244131815783876,1.985510473189294,267938367.8460543,40190755.17690814,227747612.66914615,0.7637346811551579,True,True
0.0,0.6,0.7,20.0,16000.0,0.63,0.848074753356479,0.1546695268142812,1.0,49178878.23055248,7376831.734582872,41802046.49596961,0.6911809239855303,True,True
0.1,0.6,0.7,20.0,16000.0,0.63,0.9108657004806384,0.1546695268142812,1.8400864939624435,90493389.62026325,13574008.443039486,76919381.17722376,0.7423555458917203,True,True
0.15,0.6,0.7,20.0,16000.0,0.63,0.9228314834279664,0.1546695268142812,2.019248509132746,99304376.54786395,14895656.482179591,84408720.06568435,0.7521076589937926,True,True
0.0,1.0,0.3,20.0,16000.0,0.63,0.8319523081193791,1.17892550438441,1.0,374852338.5128778,56227850.77693167,318624487.7359461,0.6780411311172939,True,True
0.1,1.0,0.3,20.0,16000.0,0.63,0.9199696730248382,1.17892550438441,1.5448077157638267,579074784.8068075,86861217.72102113,492213567.0857864,0.7497752835152431,False,True
0.15,1.0,0.3,20.0,16000.0,0.63,0.9175987256272596,1.17892550438441,1.8692813537017356,700704486.7736135,105105673.01604201,595598813.7575715,0.7478429613862165,False,True
0.0,1.0,0.5,20.0,16000.0,0.63,0.8165073713550486,0.25464790894703254,1.0,80968105.1187816,12145215.767817238,68822889.35096435,0.6654535076543645,True,True
0.1,1.0,0.5,20.0,16000.0,0.63,0.8819342588871849,0.25464790894703254,1.8479854607034274,149627881.04021513,22444182.156032268,127183698.88418286,0.7187764209930556,True,True
0.15,1.0,0.5,20.0,16000.0,0.63,0.9094688568041861,0.25464790894703254,2.163780078806595,175197172.87473792,26279575.931210686,148917596.94352722,0.7412171182954116,True,True
0.0,1.0,0.7,20.0,16000.0,0.63,0.788316119272999,0.09280171608856873,1.0,29507326.93833149,4426099.040749723,25081227.897581764,0.6424776372074942,True,True
0.1,1.0,0.7,20.0,16000.0,0.63,0.8784865065865692,0.09280171608856873,2.11912159139109,62529613.61925421,9379442.042888131,53150171.576366074,0.7159665028680539,True,True
0.15,1.0,0.7,20.0,16000.0,0.63,0.8691435715816268,0.09280171608856873,2.06523387520852,60939531.15989509,9140929.673984263,51798601.485910825,0.7083520108390258,True,True
