v,d_over_d,axis,x,rel_delta,eta_capture,e_eff,f,s,peak_compressive,survives_baseline,cliff,sigma_noise_f,solver_valid
16000.0,0.1,l_over_d,0.315,0.050000000000000044,0.9759488227975567,0.6373280553189671,0.7989741940609794,0.0560059663443425,335881393.7460954,True,False,0.0031817836626802857,True
16000.0,0.1,l_over_d,0.33,0.10000000000000009,0.9708340166654431,0.6371104364687843,0.7946812503809533,-0.025878171375613827,320504132.6054411,True,False,0.0031817836626802857,True
16000.0,0.1,l_over_d,0.36,0.2,0.9653402034349791,0.6367490927261297,0.7900098510721297,-0.04225467970366047,300652230.9455631,True,False,0.0031817836626802857,True
16000.0,0.1,nominal,0.5,0.0,0.9730243058256516,0.6376632546513541,0.7967430757666556,nan,342396061.53201026,True,False,0.0031817836626802857,True
16000.0,0.1,r_foot_over_r,0.4,-0.19999999999999996,0.9944743061825353,0.641281144808657,0.8161059638670333,-0.12151274789395561,643294050.7596613,False,False,0.0031817836626802857,True
16000.0,0.1,r_foot_over_r,0.45,-0.09999999999999998,0.9775425328217707,0.6394622882848846,0.8013220588778911,-0.057471263328262204,450271110.4082879,False,False,0.0031817836626802857,True
16000.0,0.1,r_foot_over_r,0.475,-0.050000000000000044,0.973766707586226,0.6385682069893963,0.7977915840377651,-0.026319859011025796,383661159.37292254,True,False,0.0031817836626802857,True
16000.0,0.1,r_foot_over_r,0.525,0.050000000000000044,0.985972981289867,0.6369617533933727,0.8070000301253758,0.25747206773904063,304468547.8676038,True,False,0.0031817836626802857,True
16000.0,0.1,r_foot_over_r,0.55,0.10000000000000009,0.9771585397916409,0.6361859578986484,0.7994065407239153,0.03342940827815514,264196991.41493446,True,False,0.0031817836626802857,True
16000.0,0.1,r_foot_over_r,0.6,0.19999999999999996,0.9672942738393837,0.6347630339986126,0.7906484609355778,-0.03824705238394007,208619976.52146453,True,False,0.0031817836626802857,True
16000.0,0.1,taper_frac,0.1,0.33333333333333337,0.9680982902015701,0.6380647894015872,0.7929038609295358,-0.014455907885081635,364514067.2171234,True,False,0.0031817836626802857,True
16000.0,0.1,taper_frac,0.2,0.6666666666666667,0.9773475535948525,0.6383956111560918,0.8006409711919747,0.007338429809826312,388713189.48033136,True,True,0.0031817836626802857,True
16000.0,0.1,taper_frac,0.3,1.0,0.9705396573187596,0.6387966861910261,0.7952585871154786,-0.001863196174938298,414328854.53742325,False,False,0.0031817836626802857,True
16000.0,0.0,alpha_div,0.033,0.33,0.9061163082345794,0.6376632546513541,0.7419566912180555,-0.010920041297952222,271322497.99381626,True,False,0.005409479913604756,True
16000.0,0.0,alpha_div,0.067,0.67,0.9034910376135195,0.6376632546513541,0.7398070366032427,-0.009687239867564576,271322497.99381626,True,False,0.005409479913604756,True
16000.0,0.0,alpha_div,0.1,1.0,0.9007457145189635,0.6376632546513541,0.7375590792261926,-0.009509301587231287,271322497.99381626,True,False,0.005409479913604756,True
16000.0,0.0,l_over_d,0.24,-0.2,0.9202336307108405,0.6388619651290142,0.7540679482022878,-0.06330482331782943,339606300.8580829,True,False,0.005409479913604756,True
16000.0,0.0,l_over_d,0.27,-0.09999999999999991,0.9150664773758006,0.6382736355648848,0.7495646423370026,-0.06613337161844401,301687704.0365878,True,False,0.005409479913604756,True
16000.0,0.0,l_over_d,0.285,-0.050000000000000044,0.9123431809960129,0.6380093812488059,0.7472133446949232,-0.0691141495186209,285710552.92874414,True,False,0.005409479913604756,True
16000.0,0.0,l_over_d,0.315,0.050000000000000044,0.9093934107229691,0.6373280553189671,0.7444876723494609,-0.004093629522855729,258308388.11114088,True,False,0.005409479913604756,True
16000.0,0.0,l_over_d,0.33,0.10000000000000009,0.9070027679597661,0.6371104364687843,0.742431848666504,-0.029655101241770676,246485168.17330822,True,False,0.005409479913604756,True
16000.0,0.0,l_over_d,0.36,0.2,0.9015094640379422,0.6367490927261297,0.7377723986740606,-0.046114141805394804,225797024.86361495,True,False,0.005409479913604756,True
16000.0,0.0,nominal,0.5,0.0,0.9093934107229691,0.6376632546513541,0.7446400863815366,nan,271322497.99381626,True,False,0.005409479913604756,True
16000.0,0.0,r_foot_over_r,0.4,-0.19999999999999996,0.9066990694881661,0.641281144808657,0.7440740433832407,0.0038007824763133407,531942816.71240634,False,False,0.005409479913604756,True
