case,closing_speed_m_s,k,projectile_kg,projectile_temperature_k,projectile_density_kg_m3,injection_speed_m_s,stored_water_temperature_k,stored_water_pressure_pa,liquid_energy_j_kg,energy_offset_j_kg,reference_match_temperature_k,reference_match_density_kg_m3,coolprop_version,mixed_density_kg_m3,merge_velocity_m_s,merge_heat_j,total_input_energy_j,mixed_internal_energy_j_kg,temperature_k,pressure_pa,bond_energy_j_kg,bond_fraction,ionization_energy_j_kg,thermal_energy_j_kg
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,100.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,4708.421052631579,23337671578.94737,25577544501.265335,96610309.81142192,16064.465248135752,23309044.51639546,50854105.52054748,0.9982965137147932,10743335.892038856,35012868.398835585
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,100.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,1.0,4708.421052631579,23337671578.94737,25577269291.791874,96609151.03469154,16064.28572831503,23308715.51368616,50854102.168722056,0.998296447916455,10742672.66457298,35012376.20139651
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,4797.894736842105,23235604473.68421,25591993379.05927,96245864.64313045,16007.758053997874,23205322.760759734,50853038.046795115,0.9982755585664417,10535125.760095209,34857700.83624013
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,0.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,1.0,4797.894736842105,23235604473.68421,25591718169.585808,96244705.86640008,16007.576954463842,23204992.171300706,50853034.609572895,0.9982754910917133,10534464.970740037,34857206.28608715
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,100.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,4708.421052631579,23337671578.94737,25593055879.05927,96675620.87581742,16074.575331452455,23327579.74096181,50854294.00707329,0.9983002138180529,10780729.084956717,35040597.783787414
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,100.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,1.0,4708.421052631579,23337671578.94737,25592780669.585808,96674462.09908706,16074.396090832648,23327251.017890148,50854290.67019021,0.9983001483130417,10780065.426673476,35040106.00222337
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,4797.894736842105,23235604473.68421,25576482001.265335,96180553.57873493,18242.458841430154,258168004.7860985,50317071.40955661,0.9877542128472362,6731518.056375188,39131964.11280313
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,10.0,4797.894736842105,23235604473.68421,25576206791.791874,96179394.80200458,18242.19561044588,258163629.6696757,50317046.818565756,0.9877537301113747,6731030.418795879,39131317.56464294
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,100.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,4708.421052631579,23337671578.94737,25577544501.265335,96610309.81142192,18339.67261948269,259786422.50751835,50326051.5322073,0.9879304980270295,6913088.245178496,39371170.034036115
3-synodic,45580.0,8.5,25.0,400.0,0.1241518740905039,100.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,10.0,4708.421052631579,23337671578.94737,25577269291.791874,96609151.03469154,18339.411591184442,259782069.80557445,50326027.68809921,0.9879300299529234,6912596.753788049,39370526.59280428
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,4797.894736842105,23235604473.68421,25591993379.05927,96245864.64313045,18257.28540119421,258414496.64364496,50318454.08424937,0.9877813555786097,6759019.3197534215,39168391.23912766
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,0.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,10.0,4797.894736842105,23235604473.68421,25591718169.585808,96244705.86640008,18257.02250852505,258410124.98272884,50318429.609113365,0.9877808751170482,6758531.091423592,39167745.16586312
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,100.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,4708.421052631579,23337671578.94737,25593055879.05927,96675620.87581742,18354.37521404151,260031653.38686782,50327392.26303284,0.9879568173751974,6940806.268116878,39407422.3446677
3-synodic,45580.0,8.5,25.0,800.0,0.1241518740905039,100.0,293.15,101325.0,-1914964.4879127753,-1998870.2817766531,600.0,0.01,7.2.0,10.0,4708.421052631579,23337671578.94737,25592780669.585808,96674462.09908706,18354.114516782785,260027304.04351392,50327368.52940385,0.9879563514698622,6940314.199941436,39406779.369741775
