parent,case,stride,window_start_s,window_end_s,positive_interval_bond_decrease_j,kinetics_validated,weighted_cell_intervals,status,above_reference_thermo_3500k_weight_j,above_reference_thermo_3500k_fraction,pressure_above_100mpa_weight_j,pressure_above_100mpa_fraction,pressure_above_1gpa_weight_j,pressure_above_1gpa_fraction,nonideal_pressure_gt10pct_weight_j,nonideal_pressure_gt10pct_fraction,ionized_nuclei_gt1pct_weight_j,ionized_nuclei_gt1pct_fraction,resolved_expansion_clock_weight_j,resolved_expansion_clock_fraction,network_da_gt10_weight_j,network_da_gt10_fraction,network_da_lt0p1_weight_j,network_da_lt0p1_fraction,network_da_gt10000_weight_j,network_da_gt10000_fraction,old_proxy_da_gt10_weight_j,old_proxy_da_gt10_fraction,tracking_da_gt10_weight_j,tracking_da_gt10_fraction,tracking_da_lt0p1_weight_j,tracking_da_lt0p1_fraction,tracking_da_gt10000_weight_j,tracking_da_gt10000_fraction,cold_unmodelled_weight_j,cold_unmodelled_fraction,tiny_interval_change_weight_j,tiny_interval_change_fraction,unresolved_network_weight_j,unresolved_network_fraction,no_expansion_clock_weight_j,no_expansion_clock_fraction,temperature_k_p10,temperature_k_p50,temperature_k_p90,pressure_pa_p10,pressure_pa_p50,pressure_pa_p90,rho_kg_m3_p10,rho_kg_m3_p50,rho_kg_m3_p90,x_m_p10,x_m_p50,x_m_p90,da_energy_p10,da_energy_p50,da_energy_p90,da_old_oh_proxy_p10,da_old_oh_proxy_p50,da_old_oh_proxy_p90,old_proxy_time_over_network_time_p10,old_proxy_time_over_network_time_p50,old_proxy_time_over_network_time_p90,water_collider_efficiency_p10,water_collider_efficiency_p50,water_collider_efficiency_p90,da_store_change_p10,da_store_change_p50,da_store_change_p90,da_tracking_p10,da_tracking_p50,da_tracking_p90
freeze_parent_h1_n40,combined_h1_n40,2,0.000193,0.00025,371007048.58874357,False,20036,conditional_rate_screen,371007048.58874357,1.0,0,0.0,0,0.0,0,0.0,40.388329275883734,1.0886135298376411e-07,370706657.5500521,0.9991903360331452,370706657.5500521,0.9991903360331452,0,0.0,370706617.49508744,0.9991902280703321,370706617.49508744,0.9991902280703321,370706657.5500521,0.9991903360331452,0,0.0,370706617.49508744,0.9991902280703321,0,0.0,0.19606356509029865,5.28463181053017e-10,0,0.0,300390.842627855,0.0008096634383915286,4859.518638753108,5110.97472849979,5380.688649651642,26242549.103682242,40086399.45444741,60840875.712221436,7.866973193162769,11.350969143862539,16.30381421212597,0.03595451984732548,0.19558399329617793,0.4292881743078184,21022.890356194333,32811.625352476105,52575.16915639447,5597.438554385616,8809.460879593154,13895.636855008244,3.625375518575808,3.707430217325002,3.834027846226467,1.6566951527535467,1.7389921552365977,1.8169533460430516,133429.1330539386,224978.86023227355,341565.91332163085,21022.890356194333,32811.625352476105,52575.16915639447
freeze_parent_h1_n40,combined_h1_n40,2,0.0001,0.00025,1990760377.5948987,False,46174,conditional_rate_screen,1990760377.5948987,1.0,1460409712.8472946,0.7335939218418955,438929180.44432336,0.22048318089121693,349532576.43562245,0.17557742276240396,403.7855875911191,2.0282982931323227e-07,1985444771.4296958,0.9973298613810946,1985444771.4296958,0.9973298613810946,0,0.0,1984793451.420196,0.9970026899058985,1985444645.5371318,0.997329798142663,1985444771.4296958,0.9973298613810946,0,0.0,1984793451.420196,0.9970026899058985,0,0.0,0.4857389722019434,2.4399670481124415e-10,0,0.0,5315605.679463817,0.0026701383749086717,5097.649724932061,6493.846246993025,8711.35642267845,41610000.59317076,271203031.8485511,1908007091.531179,11.616737707595153,57.131754271931214,235.43300710029527,0.00463984702937935,0.02485153586557408,0.19824361537899896,31391.377589580854,127317.18552287329,2208876.438534754,8201.830087537197,30650.335373129434,430790.45665074454,3.683865227641584,4.149215981576269,5.2046726127095235,1.314257360840073,1.5050008702735882,1.7567719384253835,207404.7307468164,883086.4567499363,14530326.30824966,31391.377589580854,127317.18552287329,2208876.438534754
freeze_parent_h1_n40,unsprayed_h1_n40,2,0.0001,0.0001535,9.836684702895582,False,507,negligible_molecular_return,9.836684702895582,1.0,5.122274160385132e-06,5.207317622854487e-07,0,0.0,0,0.0,9.836684702895582,1.0,9.610139485448599,0.9769693525522583,9.610139485448599,0.9769693525522583,0,0.0,0,0.0,0,0.0,9.610139485448599,0.9769693525522583,0,0.0,0,0.0,0,0.0,0.22654521744698286,0.023030647447741793,0,0.0,0,0.0,22665.424189197147,23051.55519550255,23493.58982626051,5226902.277407092,5784755.744398845,6467473.517035383,0.10706882670325168,0.11577330508051932,0.1261005124889958,1.0645178972195946,1.1070808391991944,1.1504995602306347,696.5561261920474,709.9623857785118,723.6767242923868,5.531263044178e-07,5.576669656910828e-07,5.613830081812537e-07,1240785909.1580312,1273093852.526657,1308339014.9996603,0.9999967486921831,0.9999968136295714,0.9999968772062597,446820315.6195828,682003285.7510029,849257739.692778,696.5561261920474,709.9623857785118,723.6767242923868
freeze_parent_h1_n40,unsprayed_h1_n40,2,0.0001535,0.000193,1.9928840640932322,False,781,negligible_molecular_return,1.9928840640932322,1.0,0,0.0,0,0.0,0,0.0,1.9928840640932322,1.0,1.631398661993444,0.8186119259956725,1.631398661993444,0.8186119259956725,0,0.0,0,0.0,0,0.0,1.631398661993444,0.8186119259956725,0,0.0,0,0.0,0,0.0,0.3614854020997882,0.18138807400432752,0,0.0,0,0.0,26799.896354782155,28412.466500282848,54809.13178026308,1726983.1380809522,2184776.091096904,33255796.152106162,0.024182963940239496,0.02858609953870526,0.19519150861237236,1.2105394813747719,4.222695261041211,5.246992731366887,174.78383590199445,232.82403669987852,283.8432074732776,4.939943831489816e-11,9.721109465375977e-11,1.533671826261448e-10,1850742790034.7322,2395035644122.065,3538174559553.285,0.9999999141212697,0.9999999226825628,0.9999999337244313,1533112086.4657614,1675939362.1858923,1888616755.313061,174.78383590199445,232.82403669987852,283.8432074732776
freeze_parent_h1_n40,unsprayed_h1_n40,2,0.000193,0.00025,2.7980540320277214,False,474,negligible_molecular_return,2.7980540320277214,1.0,0,0.0,0,0.0,0,0.0,2.7980540320277214,1.0,2.627737638540566,0.939130412944982,2.627737638540566,0.939130412944982,0,0.0,0,0.0,0,0.0,2.627737638540566,0.939130412944982,0,0.0,0,0.0,0,0.0,0.17031639348715544,0.06086958705501797,0,0.0,0,0.0,23998.76249978573,25093.987927588572,26310.36306114081,1068620.8861527129,1326638.6074050542,1600325.994925809,0.017087933315334283,0.020054039893465152,0.022903655362406447,5.756927380835636,6.766809138636512,8.454742441966307,315.08958538392193,378.6307717988817,447.1688983903265,1.9614111190866603e-10,3.107877460797876e-10,4.4490123074225055e-10,1005097013654.6771,1218293760210.4717,1606443352532.0527,0.9999998892257618,0.9999998973703392,0.9999999088829935,1136949099.3054826,1535281411.3629413,2086426741.9428763,315.08958538392193,378.6307717988817,447.1688983903265
freeze_parent_h1_n40,unsprayed_h1_n40,2,0.0001,0.00025,14.627622799016535,False,1762,negligible_molecular_return,14.627622799016535,1.0,5.122274160385132e-06,3.5017816843961275e-07,0,0.0,0,0.0,14.627622799016535,1.0,13.869275785982609,0.9481565102235947,13.869275785982609,0.9481565102235947,0,0.0,0,0.0,0,0.0,13.869275785982609,0.9481565102235947,0,0.0,0,0.0,0,0.0,0.7583470130339265,0.05184348977640528,0,0.0,0,0.0,22665.424189197147,23493.58982626051,29838.073991568035,1338436.6644467767,5784755.744398845,6467473.517035383,0.020179992657620712,0.11577330508051932,0.1261005124889958,1.0645178972195946,1.1070808391991944,6.708506017618429,236.51126143009463,696.5561261920474,723.6767242923868,9.721109465375977e-11,5.576669656910828e-07,5.613830081812537e-07,1240785909.1580312,1273093852.526657,2395035644122.065,0.9999967486921831,0.9999968136295714,0.9999999219733929,446820315.6195828,682003285.7510029,1888616755.313061,236.51126143009463,696.5561261920474,723.6767242923868
freeze_parent_h1_n80,combined_h1_n80,1,0.0001,0.0001535,235849530.103982,False,29050,conditional_rate_screen,235849530.103982,1.0,235230868.56996912,0.9973768803620676,195603685.8632205,0.8293579630071012,195458073.93865776,0.8287405696864593,55.63502194592729,2.3589201946426931e-07,234156904.27004763,0.992823280872393,234156904.27004763,0.992823280872393,0,0.0,234156849.40109667,0.992823048228508,234156849.40109667,0.992823048228508,234156904.27004763,0.992823280872393,0,0.0,234156849.40109667,0.992823048228508,0,0.0,0.4947535498649813,2.097750839897171e-09,0,0.0,1692625.3391808153,0.007176717029856137,5135.057456021169,9023.624032946962,9448.502157793766,181102270.3127249,2536858242.115246,3378194285.1517286,59.02548437225389,279.3288519834195,334.49197979043134,0.0015470117178737583,0.007530372385380025,0.047099709767467884,236731.52045890014,3192627.2870285157,10630014.20757669,82676.95866792901,597292.7187040845,1944312.1904426732,2.8152334969702797,5.33926149697785,5.591120107797556,1.2809883527342427,1.3039549302159796,2.274730015057825,1257093.1942250137,17883252.800106626,40238450.60551432,236731.52045890014,3192627.2870285157,10630014.20757669
freeze_parent_h1_n80,combined_h1_n80,1,0.0001535,0.000193,1405688328.8299036,False,55437,conditional_rate_screen,1405688328.8299036,1.0,1248776855.2828293,0.8883739230603931,287313327.5530317,0.20439333646043117,187210647.28870824,0.13318076521595834,224.09278654726222,1.5941854389144518e-07,1402209870.4933074,0.9975254412622948,1402209870.4933074,0.9975254412622948,0,0.0,1399895202.5219913,0.9958787974623545,1402147595.0341036,0.9974811387964306,1402209870.4933074,0.9975254412622948,0,0.0,1399895202.5219913,0.9958787974623545,0,0.0,0.6483540101908147,4.612359631174467e-10,0,0.0,3478457.6882421738,0.002474558276469184,5653.300137681743,6760.547378170412,8269.964789878544,95779584.69029194,372567911.36860746,1431232416.0954392,23.522143205171812,71.11702699582867,192.1473109134473,0.005018894813251295,0.021078545854961266,0.08540817873574177,50873.015879066916,148120.86429543776,791710.0867103304,12710.299475285354,35042.13114693193,164661.20110032655,3.85273660334226,4.261557298654468,4.9637054031240275,1.3414780300007556,1.4708344738680024,1.6315251895988843,343673.9169730469,1014081.7928710178,5913908.685108504,50873.015879066916,148120.86429543776,791438.1899010285
freeze_parent_h1_n80,combined_h1_n80,1,0.000193,0.00025,369298486.5800853,False,80832,conditional_rate_screen,369298486.5800853,1.0,0,0.0,0,0.0,0,0.0,40.93152913497761,1.1083589730904918e-07,369171584.77673084,0.9996563706379368,369171584.77673084,0.9996563706379368,0,0.0,369171544.5994222,0.9996562618443454,369171544.5994222,0.9996562618443454,369171584.77673084,0.9996563706379368,0,0.0,369171544.5994222,0.9996562618443454,0,0.0,0.6068318500183523,1.6432015620696458e-09,0,0.0,126901.19652257883,0.0003436277188616621,4861.395583234243,5109.732238546158,5367.741464598115,26037440.8942052,39837646.955260634,60280975.71094192,7.867567634885542,11.32323481867578,16.140115078083415,0.03576383069506123,0.19520069686220104,0.4312311329141989,20919.122043435815,32813.01455736812,52462.61631505467,5653.6217366213305,8812.434465022281,13836.759658091578,3.630825871567302,3.710085914586793,3.8268605470364765,1.662011974186855,1.737244816574998,1.8131498053684822,133346.01241494066,226773.04659227654,342251.68462297437,20919.122043435815,32813.01455736812,52462.61631505467
freeze_parent_h1_n80,combined_h1_n80,1,0.0001,0.00025,2010836345.5139709,False,165319,conditional_rate_screen,2010836345.5139709,1.0,1484007723.8527985,0.7380052221373019,482917013.4162522,0.24015729300577085,382668721.22736603,0.1903032646495932,320.6593376281671,1.5946565633923154e-07,2005538359.5400858,0.9973652823683516,2005538359.5400858,0.9973652823683516,0,0.0,2003223596.52251,0.9962141379588427,2005475989.0346224,0.9973342651721474,2005538359.5400858,0.9973652823683516,0,0.0,2003223596.52251,0.9962141379588427,0,0.0,1.7499394100741483,8.702545157283115e-10,0,0.0,5297984.223945567,0.002634716761393827,5102.525278528528,6530.838268119642,8758.809650364494,41715254.753770754,287127212.2478511,2066627988.9799461,11.714935420879488,59.69853555673083,245.0813162074478,0.004531491752287696,0.023464936975265277,0.195455239529657,31156.954245652323,127997.91695812596,2401158.911513665,8133.781458051259,30687.887284732507,465882.28938555974,3.694325768636514,4.171385649440816,5.220462558009665,1.3123388889681828,1.4969501413008277,1.7495441436703252,212213.1552438588,891460.2339357976,13921462.001539955,31156.954245652323,127997.91695812596,2400401.174728346
freeze_parent_h1_n80,unsprayed_h1_n80,1,0.0001,0.0001535,7.091936459764838,False,2302,negligible_molecular_return,7.091936459764838,1.0,0.0001233164221048355,1.7388258172426515e-05,0,0.0,0,0.0,7.091936459764838,1.0,6.832949959207326,0.9634815537298117,6.832949959207326,0.9634815537298117,0,0.0,0,0.0,0,0.0,6.832949959207326,0.9634815537298117,0,0.0,0,0.0,0,0.0,0.25898650055751204,0.036518446270188354,0,0.0,0,0.0,20672.241554950127,21323.644148331998,29127.35431065124,1404901.0261292644,1998488.446007901,2731656.292636843,0.022875303052320425,0.04162068223251629,0.04885459490095986,1.2135457051224787,1.3439658642187624,3.080317393184879,114.71221523870037,294.75626357704795,307.5137948024359,4.830049631364631e-11,4.214099285335472e-08,4.302532349358458e-08,6784582847.905318,7075941885.354381,2374969699975.7495,0.999998670130838,0.9999987166642658,0.9999999222447276,226704474.36540526,320982248.553107,1426505491.3360474,114.71221523870037,294.75626357704795,307.5137948024359
freeze_parent_h1_n80,unsprayed_h1_n80,1,0.0001535,0.000193,2.275204323232174,False,3358,negligible_molecular_return,2.275204323232174,1.0,0,0.0,0,0.0,0,0.0,2.275204323232174,1.0,1.8268345412798226,0.8029320807041218,1.8268345412798226,0.8029320807041218,0,0.0,0,0.0,0,0.0,1.8268345412798226,0.8029320807041218,0,0.0,0,0.0,0,0.0,0.44836978195235133,0.19706791929587825,0,0.0,0,0.0,22768.26114360638,23806.761403718614,54658.92734445911,850572.47296906,1035304.637828978,32187656.232850395,0.014497584963951005,0.01672482527074792,0.1900539321656626,1.23796246930848,4.783738578280698,5.608772492307544,197.3325147054796,238.60891520530868,267.91957115648194,1.7399188417113236e-10,2.6983899903021165e-10,3.7042657744987946e-10,723273078840.3884,884264009512.5522,1134147811810.5225,0.999999872273765,0.9999998828850024,0.9999998942270197,534849409.7161301,748524795.7552689,1731812818.0369527,197.3325147054796,238.60891520530868,267.91957115648194
freeze_parent_h1_n80,unsprayed_h1_n80,1,0.000193,0.00025,2.6100068632513285,False,1927,negligible_molecular_return,2.6100068632513285,1.0,0,0.0,0,0.0,0,0.0,2.6100068632513285,1.0,2.3168198275379837,0.8876680977964492,2.3168198275379837,0.8876680977964492,0,0.0,0,0.0,0,0.0,2.3168198275379837,0.8876680977964492,0,0.0,0,0.0,0,0.0,0.2931870357133448,0.11233190220355088,0,0.0,0,0.0,20774.22191488189,21618.7266845955,28163.015276782346,515055.50401924714,633171.989084497,1287846.9927949654,0.009893560741511206,0.011561582059302565,0.01685709314832404,6.417881051439697,7.8628779202398515,9.12926844766718,176.4760322594929,305.90955822302493,332.7900477248944,2.266753602507819e-11,4.899348726604341e-10,6.186338660808706e-10,537943468619.2731,624388210134.7089,7785408703630.115,0.999999857189489,0.9999998656910489,0.9999999589741138,642598592.5020777,854184366.2853087,2270557179.7236695,176.4760322594929,305.90955822302493,332.7900477248944
