area_m2,final_wall_pressure_pa,initial_projection_impulse_ns,input_energy_j,layer_length_m,max_energy_error_j,momentum_error_ns,name,peak_wall_pressure_pa,projectile_cells,record,status,steps,time_s,timestep_fraction,wall_impulse_ns,water_cells,control_method,initial_rarefaction_arrival_s,snapshots,end_bond_parcel_peak_drop_j,peak_total_bond_store_j,end_ion_parcel_peak_drop_j,peak_total_ion_store_j,sampled_peak_max_water_density_kg_m3,sampled_peak_max_water_temperature_k,sampled_peak_hot_dense_mass_kg_Tge5000_rhoge10,sampled_peak_dense_closure_mass_kg_Tgt1000_rhoge100,sampled_peak_high_pressure_mass_kg_pgt1GPa,run,matched_gain_ns,relative_max_energy_error
44.178646691106465,1043004.9884244679,28487.500000000004,25983100195.2864,1.0,31387602.068275914,5.625234313588321e-09,unsprayed_h1_n20,315729397.4818443,20,summary,completed_time_window,2295,0.001,0.125,1925052.7167794248,0,,,65,88.42907031998038,1273521322.7802818,8114119544.568071,12925986910.20523,0.0,0.0,0.0,0.0,0.0,flow_h1_n20_cfl005_1ms,679461.9897767118,0.0012080006555172328
44.178646691106465,2081.0855073624452,0.0,-406654744.2080023,1.0,,,water_only_h1_n20,2081.0855073624452,0,summary,completed_analytic_wall_window,0,0.001,0.125,91.93954136374752,170,undisturbed wall until rarefaction head arrival; no spatial history,0.14664787193861456,,,,,,,,,,,flow_h1_n20_cfl005_1ms,679461.9897767118,
44.178646691106465,1867160.9522730322,-0.0,25576445451.078392,1.0,29021684.716020986,8.678932940964839e-09,combined_h1_n40,5595062884.140065,40,summary,completed_time_window,36435,0.001,0.25,2627371.556368766,340,,,65,2363943737.5915265,4961772599.810642,5341206637.073197,9258385431.706469,424.2420127819681,37268.08746852781,211.25,150.625,150.625,flow_h1_n40_cfl01_eos3_1ms,707015.4274030415,0.0011347035995104367
44.178646691106465,971251.8065982786,14243.750000000002,25983100195.286396,1.0,79756750.93455806,5.625234313588321e-09,unsprayed_h1_n40,316048663.1878976,40,summary,completed_time_window,2321,0.001,0.25,1920264.1894243606,0,,,65,85.01895906403661,1273521776.0008216,7985904085.771955,12766359078.262241,0.0,0.0,0.0,0.0,0.0,flow_h1_n40_cfl01_eos3_1ms,707015.4274030415,0.003069562536229867
44.178646691106465,2081.0855073624452,0.0,-406654744.2080023,1.0,,,water_only_h1_n40,2081.0855073624452,0,summary,completed_analytic_wall_window,0,0.001,0.25,91.93954136374752,340,undisturbed wall until rarefaction head arrival; no spatial history,0.1466478719410417,,,,,,,,,,,flow_h1_n40_cfl01_eos3_1ms,707015.4274030415,
44.178646691106465,1887864.5912138904,-0.0,25576445451.078392,1.0,29241650.311652515,7.071723137082461e-09,combined_h1_n40,5791151048.000502,40,summary,completed_time_window,36759,0.001,0.25,2625391.9052857817,340,,,129,2488483722.92454,5400246034.1676655,5425202991.534701,9496096856.869097,378.22332399831913,37284.37347129425,211.25,188.75,188.75,flow_h1_n40_cfl01_s128_1ms,704989.676046865,0.0011433039187397943
44.178646691106465,971307.7391475567,14243.750000000002,25983100195.286396,1.0,81402746.66514458,9.643258823294266e-10,unsprayed_h1_n40,315880191.8074834,40,summary,completed_time_window,2361,0.001,0.25,1920310.289697553,0,,,129,85.01398967579007,1273521775.996696,8089352953.005593,12953072833.83346,0.0,0.0,0.0,0.0,0.0,flow_h1_n40_cfl01_s128_1ms,704989.676046865,0.0031329112405113183
44.178646691106465,2081.0855073624452,0.0,-406654744.2080023,1.0,,,water_only_h1_n40,2081.0855073624452,0,summary,completed_analytic_wall_window,0,0.001,0.25,91.93954136374752,340,undisturbed wall until rarefaction head arrival; no spatial history,0.14664787193861456,,,,,,,,,,,flow_h1_n40_cfl01_s128_1ms,704989.676046865,
44.178646691106465,1887860.7784982163,-0.0,25576445451.078392,1.0,29257484.098258592,1.2214794509506068e-08,combined_h1_n40,5791179806.210064,40,summary,completed_time_window,36806,0.001,0.25,2625390.958573163,340,,,216,2703773070.660012,5597181580.287373,5467814241.075369,9555622871.623373,457.5948745691304,37269.26141268107,211.875,206.875,206.25,flow_h1_n40_cfl01_dense_1ms,705038.4976445384,0.0011439229956414837
44.178646691106465,971259.5601099058,14243.750000000002,25983100195.286396,1.0,79758904.83004487,3.6965825489294683e-09,unsprayed_h1_n40,316043501.4722698,40,summary,completed_time_window,2403,0.001,0.25,1920260.5213872609,0,,,216,85.04864070564508,1273521775.9901557,7985726639.473107,12766023021.36541,0.0,0.0,0.0,0.0,0.0,flow_h1_n40_cfl01_dense_1ms,705038.4976445384,0.0030696454322457624
44.178646691106465,2081.0855073624452,0.0,-406654744.2080023,1.0,,,water_only_h1_n40,2081.0855073624452,0,summary,completed_analytic_wall_window,0,0.001,0.25,91.93954136374752,340,undisturbed wall until rarefaction head arrival; no spatial history,0.14664787193861456,,,,,,,,,,,flow_h1_n40_cfl01_dense_1ms,705038.4976445384,
44.178646691106465,1887860.4266775919,-0.0,25576445451.078392,1.0,29253243.461987015,4.178745490094182e-09,combined_h1_n40,5791219320.215102,40,summary,completed_time_window,36895,0.001,0.25,2625390.565956979,340,,,366,2717423831.450684,5635540625.380545,5470890121.011768,9557632951.438967,458.1552328404758,37269.26141268107,211.875,210.0,210.625,flow_h1_n40_cfl01_dense301_1ms,705038.1950945802,0.0011437571932324004
44.178646691106465,971261.1326377237,14243.750000000002,25983100195.286396,1.0,79758904.83004487,4.178745490094182e-09,unsprayed_h1_n40,316043501.4722698,40,summary,completed_time_window,2464,0.001,0.25,1920260.4313210351,0,,,366,85.0492891529575,1273521775.9907348,7985723945.844803,12766023021.36541,0.0,0.0,0.0,0.0,0.0,flow_h1_n40_cfl01_dense301_1ms,705038.1950945802,0.0030696454322457624
44.178646691106465,2081.0855073624452,0.0,-406654744.2080023,1.0,,,water_only_h1_n40,2081.0855073624452,0,summary,completed_analytic_wall_window,0,0.001,0.25,91.93954136374752,340,undisturbed wall until rarefaction head arrival; no spatial history,0.14664787193861456,,,,,,,,,,,flow_h1_n40_cfl01_dense301_1ms,705038.1950945802,
