abs_matching_energy_offsets_j,branch,initial_bond_store_j,initial_compressing_mass_kg,initial_ion_store_j,initial_wall_impulse_ns,max_energy_error_j,max_matching_pressure_correction_fraction,max_source_energy_error_fraction,max_source_pressure_error_fraction,max_start_pressure_jump_fraction,max_start_temperature_jump_fraction,momentum_error_ns,name,record,restart_physical_energy_j,start_time_s,status,steps,time_s,wall_impulse_ns,run
0.0,equilibrium,4257924160.9891887,5.9375,6863731220.174699,2377754.7184223444,2727.5695343473126,0.0,0.0,0.0,1.4932499681208355e-13,1.2434497875801753e-14,-6.752088665962219e-09,combined_h1_n80_freeze_193us,summary,25611269721.882122,0.00019300000000000003,completed_time_window,4627,0.0005,2572275.4019666514,molecular_n80_05ms
30981043.82051504,molecular_frozen,4257924160.9891887,5.9375,6863731220.174699,2377754.7184223444,2704.1125470296365,0.0031677285368885144,2.886295646931103e-10,1.0058219979125482e-07,9.08162434143378e-14,4.285460875053104e-14,7.2177499532699585e-09,combined_h1_n80_freeze_193us,summary,25611269721.882122,0.00019300000000000003,completed_time_window,4716,0.0005,2550203.5785592115,molecular_n80_05ms
0.0,equilibrium,1273521962.0037766,0.0,9055412403.593388,1715037.99044795,3866.562155854379,0.0,0.0,0.0,1.4210854715202004e-14,3.552713678800501e-15,-4.423782229423523e-09,unsprayed_h1_n80_freeze_153.5us,summary,26064582433.624844,0.00015350000000000002,completed_time_window,633,0.0005,1880416.9552435768,molecular_n80_05ms
22287199.00009999,molecular_frozen,1273521962.0037766,0.0,9055412403.593388,1715037.99044795,59484.73041979951,0.0022357069495562154,1.4479639709463754e-11,4.011226439892823e-08,8.881784197001252e-15,6.8833827526759706e-15,-4.307366907596588e-09,unsprayed_h1_n80_freeze_153.5us,summary,26064582433.624844,0.00015350000000000002,completed_time_window,632,0.0005,1880310.3329356592,molecular_n80_05ms
0.0,equilibrium,1273521969.391027,0.0,8079327666.793192,1776950.0600716854,2573.0586330863684,0.0,0.0,0.0,7.216449660063518e-15,3.552713678800501e-15,-3.6088749766349792e-09,unsprayed_h1_n80_freeze_193us,summary,26064581282.9616,0.00019300000000000003,completed_time_window,457,0.0005,1880416.9436746116,molecular_n80_05ms
28163639.485466015,molecular_frozen,1273521969.391027,0.0,8079327666.793192,1776950.0600716854,2586.360866428067,0.00230170433339838,1.9942714146736762e-11,3.992632069405033e-08,2.708944180085382e-14,1.8318679906315083e-14,-4.540197551250458e-09,unsprayed_h1_n80_freeze_193us,summary,26064581282.9616,0.00019300000000000003,completed_time_window,457,0.0005,1880487.9422262327,molecular_n80_05ms
0.0,equilibrium,5635540625.380545,2.5,7474878806.155985,1558795.240384444,2636.586698585864,0.0,0.0,0.0,8.537615059367454e-14,8.881784197001252e-15,1.7462298274040222e-08,combined_h1_n40_freeze_153.5us,summary,25605693328.102875,0.00015350000000000002,completed_time_window,19175,0.0005,2562918.3471355042,molecular_n40_halfdt_05ms
27854010.020583693,molecular_frozen,5635540625.380545,2.5,7474878806.155985,1558795.240384444,2534.6234999122253,0.004264610522454748,2.0683099677398786e-10,2.9769708631555147e-07,5.684341886080802e-14,4.107825191113079e-14,1.0011717677116394e-08,combined_h1_n40_freeze_153.5us,summary,25605693328.102875,0.00015350000000000002,completed_time_window,19379,0.0005,2436285.914561992,molecular_n40_halfdt_05ms
0.0,equilibrium,4285203727.0937886,8.125,6924175955.492325,2365577.8882799535,366.19971631664714,0.0,0.0,0.0,7.815970093361102e-14,7.105427357601002e-15,-1.234002411365509e-08,combined_h1_n40_freeze_193us,summary,25605696302.31179,0.00019300000000000003,completed_time_window,4712,0.0005,2562917.964561594,molecular_n40_halfdt_05ms
29462233.02371801,molecular_frozen,4285203727.0937886,8.125,6924175955.492325,2365577.8882799535,339.73148885330374,0.0025360291061793383,2.3732393827913256e-10,1.2336784405153622e-07,1.8851586958135158e-13,9.85878045867139e-14,5.820766091346741e-09,combined_h1_n40_freeze_193us,summary,25605696302.31179,0.00019300000000000003,completed_time_window,4828,0.0005,2540465.333267777,molecular_n40_halfdt_05ms
0.0,equilibrium,1273521607.3497722,0.0,9167202021.8913,1711809.098791284,3512.349926750405,0.0,0.0,0.0,7.105427357601002e-15,3.6637359812630166e-15,3.958120942115784e-09,unsprayed_h1_n40_freeze_153.5us,summary,26062282104.95553,0.00015350000000000002,completed_time_window,670,0.0005,1883056.2752491129,molecular_n40_halfdt_05ms
26318442.4475977,molecular_frozen,1273521607.3497722,0.0,9167202021.8913,1711809.098791284,3529.310590514701,0.002239529106609517,1.0731193711421838e-11,3.316688390597733e-08,2.6645352591003757e-15,1.6653345369377348e-15,4.6566128730773926e-09,unsprayed_h1_n40_freeze_153.5us,summary,26062282104.95553,0.00015350000000000002,completed_time_window,669,0.0005,1882879.8825582338,molecular_n40_halfdt_05ms
0.0,equilibrium,1273521650.7664595,0.0,8175401587.134674,1776283.4391255134,2328.8168707188884,0.0,0.0,0.0,3.552713678800501e-15,1.7763568394002505e-15,4.0745362639427185e-09,unsprayed_h1_n40_freeze_193us,summary,26062278250.30098,0.00019300000000000003,completed_time_window,475,0.0005,1883056.3984691852,molecular_n40_halfdt_05ms
29075235.69116898,molecular_frozen,1273521650.7664595,0.0,8175401587.134674,1776283.4391255134,2341.1148763378997,0.0018876705308101815,2.1951329642888595e-11,3.7033845101674956e-08,8.215650382226158e-15,3.774758283725532e-15,5.471520125865936e-09,unsprayed_h1_n40_freeze_193us,summary,26062278250.30098,0.00019300000000000003,completed_time_window,473,0.0005,1883119.6658006406,molecular_n40_halfdt_05ms
