run,variant,parent_forcing,history_stride,relative_tolerance,maximum_step_s,end_time_s,kinetics_validated,total_mass_kg,initial_bond_store_j,mass_mean_initial_ionized_nuclei_fraction,resolved_mass_fraction,resolved_initial_store_fraction,resolved_net_return_j,resolved_return_over_total_start_store,including_unresolved_return_lower_j,including_unresolved_return_upper_j,parent_equilibrium_net_return_j,resolved_work_j,resolved_parent_forcing_j,max_energy_error_j_kg,max_energy_relative_error,accepted_steps,rejected_steps
parcel_n80,association_1e3_slower,True,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1322375913.6728728,0.2349754165183211,1322375913.6728728,1322375913.6728728,1369796105.5254436,-4224676725.3698754,198058097.71312377,0.8580105658620596,3.6635972329920756e-09,623494,1149
parcel_n80,association_1e3_slower,True,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1687018362.805703,0.2997694062449393,1687018362.805703,1687018362.805703,1735268865.028622,-6230091255.120634,216520266.95963615,0.8580105658620596,3.6635972329920756e-09,623494,1149
parcel_n80,association_1e3_slower,False,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1367348518.599548,0.24296668168376753,1367348518.599548,1367348518.599548,1369796105.5254436,-4184626604.420003,0.0,0.7753933668136597,3.6639677533130422e-09,623161,1146
parcel_n80,association_1e3_slower,False,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1728567280.0631413,0.30715231003009325,1728567280.0631413,1728567280.0631413,1735268865.028622,-6143069975.657621,0.0,0.7753933668136597,3.6639677533130422e-09,623161,1146
parcel_n80,association_1e6_slower,True,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,558401726.3073672,0.0992234332665574,558401726.3073672,558401726.3073672,1369796105.5254436,-4056015665.265644,198058097.71312556,0.8581949854269624,3.6126456978804512e-09,625759,1066
parcel_n80,association_1e6_slower,True,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,674581916.2891312,0.11986770563258899,674581916.2891312,674581916.2891312,1735268865.028622,-5950746365.108176,216520266.95963794,0.8581949854269624,3.6126456978804512e-09,625759,1066
parcel_n80,association_1e6_slower,False,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,575366679.0273725,0.1022379670238495,575366679.0273725,575366679.0273725,1369796105.5254436,-4005853214.300279,0.0,0.775569811463356,3.6130175805335687e-09,625642,1070
parcel_n80,association_1e6_slower,False,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,692961866.8605411,0.12313367296944687,692961866.8605411,692961866.8605411,1735268865.028622,-5851716518.051824,0.0,0.775569811463356,3.6130175805335687e-09,625642,1070
parcel_n80,frozen,True,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,3.797077322499193e-10,6.747096768636663e-20,3.797077322499193e-10,3.797077322499193e-10,1369796105.5254436,-3909900869.708309,198058097.71312395,0.8581975363194942,3.890185698422751e-09,626642,798
parcel_n80,frozen,True,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1.8640197764996042e-10,3.3122111409670893e-20,1.8640197764996042e-10,1.8640197764996042e-10,1735268865.028622,-5707624165.21136,216520266.95963642,0.8581975363194942,3.890185698422751e-09,626642,798
parcel_n80,frozen,False,2,0.0001,2.5e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,-5.246870481998885e-10,-9.323260989388842e-20,-5.246870481998885e-10,-5.246870481998885e-10,1369796105.5254436,-3855532387.444205,0.0,1.004270814359188,5.514251601005705e-09,626319,792
parcel_n80,frozen,False,2,0.0001,2.5e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,-9.665287729997946e-10,-1.7174428138347866e-19,-9.665287729997946e-10,-9.665287729997946e-10,1735268865.028622,-5601564476.925626,0.0,1.004270814359188,5.514251601005705e-09,626319,792
parcel_n80_refined,baseline,True,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1332261525.4680996,0.23673200912190998,1332261525.4680996,1332261525.4680996,1369796105.5254436,-4239782995.498558,198058097.71312392,3.9480237141251564,4.028493071637364e-09,1609714,1551
parcel_n80_refined,baseline,True,2,1e-05,1.25e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1698533702.0132768,0.3018155881200569,1698533702.0132768,1698533702.0132768,1735268865.028622,-6244224655.837776,216520266.95963722,3.9480237141251564,4.028493071637364e-09,1609714,1551
parcel_n80_refined,baseline,False,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1377239498.879535,0.24472422822332085,1377239498.879535,1377239498.879535,1369796105.5254436,-4199530205.1796227,0.0,3.4367180466651917,2.9679975368294687e-09,1609509,1540
parcel_n80_refined,baseline,False,2,1e-05,1.25e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1740085946.096593,0.30919908305504057,1740085946.096593,1740085946.096593,1735268865.028622,-6157038625.404906,0.0,3.4367180466651917,2.9679975368294687e-09,1609509,1540
parcel_n80_refined,li_h2,True,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1332261069.1575432,0.23673192803924512,1332261069.1575432,1332261069.1575432,1369796105.5254436,-4239795308.075616,198058097.71312603,3.9480113312602043,4.0251824984387064e-09,1607618,1594
parcel_n80_refined,li_h2,True,2,1e-05,1.25e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1698532908.3281472,0.3018154470886814,1698532908.3281472,1698532908.3281472,1735268865.028622,-6244232001.986299,216520266.95963925,3.9480113312602043,4.0251824984387064e-09,1607618,1594
parcel_n80_refined,li_h2,False,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1377238998.5540054,0.24472413931955417,1377238998.5540054,1377238998.5540054,1369796105.5254436,-4199541783.9704785,0.0,3.4367021322250366,2.967983792897456e-09,1608138,1560
parcel_n80_refined,li_h2,False,2,1e-05,1.25e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1740085164.4565587,0.3091989441639804,1740085164.4565587,1740085164.4565587,1735268865.028622,-6157045560.1155615,0.0,3.4367021322250366,2.967983792897456e-09,1608138,1560
parcel_n80_refined,without_direct_and_steam_h2,True,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1332250754.1310697,0.23673009514315485,1332250754.1310697,1332250754.1310697,1369796105.5254436,-4239780071.5276475,198058097.7131265,3.9480248019099236,4.028506612734303e-09,1612109,1553
