abs_matching_energy_offsets_j,branch,initial_bond_store_j,initial_compressing_mass_kg,initial_ion_store_j,initial_wall_impulse_ns,max_energy_error_j,max_matching_pressure_correction_fraction,max_source_energy_error_fraction,max_source_pressure_error_fraction,max_start_pressure_jump_fraction,max_start_temperature_jump_fraction,momentum_error_ns,name,record,restart_physical_energy_j,start_time_s,status,steps,time_s,wall_impulse_ns,run
22287199.00006433,parcel_frozen,1273521962.0037766,0.0,9055412403.593388,1715037.99044795,2874.8463010249425,0.0022357069495714255,1.4478862553346517e-11,4.011225263056417e-08,1.8252066524837574e-12,1.8252066524837574e-12,-2.561137080192566e-09,unsprayed_h1_n80_freeze_153.5us,summary,26064582433.624844,0.00015350000000000002,completed_time_window,618,0.0005,1841225.7157568708,freeze_n80_05ms
0.0,equilibrium,1273521969.391027,0.0,8079327666.793192,1776950.0600716854,2573.0586330863684,0.0,0.0,0.0,7.216449660063518e-15,3.552713678800501e-15,-3.6088749766349792e-09,unsprayed_h1_n80_freeze_193us,summary,26064581282.9616,0.00019300000000000003,completed_time_window,457,0.0005,1880416.9436746116,freeze_n80_05ms
28163639.48538905,parcel_frozen,1273521969.391027,0.0,8079327666.793192,1776950.0600716854,2004.5000788615876,0.0023017043334003784,1.993960552226781e-11,3.992631647520284e-08,2.524647157997606e-12,2.5245361356951435e-12,-3.026798367500305e-09,unsprayed_h1_n80_freeze_193us,summary,26064581282.9616,0.00019300000000000003,completed_time_window,451,0.0005,1858923.640585085,freeze_n80_05ms
0.0,equilibrium,5635540625.380545,2.5,7474878806.155985,1558795.240384444,5366.437503874982,0.0,0.0,0.0,8.537615059367454e-14,8.881784197001252e-15,-4.190951585769653e-09,combined_h1_n40_freeze_153.5us,summary,25605693328.102875,0.00015350000000000002,completed_time_window,10435,0.001,2625390.565924041,freeze_probe
27854010.02037514,parcel_frozen,5635540625.380545,2.5,7474878806.155985,1558795.240384444,8168.994513203049,0.004264610522454748,2.0683099677398786e-10,2.976970865375961e-07,1.393440918207034e-11,1.3922862862614238e-11,-3.259629011154175e-09,combined_h1_n40_freeze_153.5us,summary,25605693328.102875,0.00015350000000000002,"invalid_domain: energy domain: cell 0, e=51101330.133547544, limits=[51102296.299094565,4356999616.339408]",9621,0.0006635123432304793,2448227.6168078855,freeze_probe
0.0,equilibrium,4285203727.0937886,8.125,6924175955.492325,2365577.8882799535,989.7582053586208,0.0,0.0,0.0,7.815970093361102e-14,7.105427357601002e-15,6.984919309616089e-09,combined_h1_n40_freeze_193us,summary,25605696302.31179,0.00019300000000000003,completed_time_window,3200,0.001,2625390.5656342413,freeze_probe
29462233.023646336,parcel_frozen,4285203727.0937886,8.125,6924175955.492325,2365577.8882799535,3041.0320381576626,0.002536029106178006,2.3732393827913256e-10,1.2336784405153622e-07,1.816413686128726e-11,1.8167023441151287e-11,-5.3551048040390015e-09,combined_h1_n40_freeze_193us,summary,25605696302.31179,0.00019300000000000003,completed_time_window,3047,0.001,2583726.8139561214,freeze_probe
0.0,equilibrium,1273521607.3497722,0.0,9167202021.8913,1711809.098791284,16570.234933084324,0.0,0.0,0.0,7.105427357601002e-15,3.6637359812630166e-15,5.587935447692871e-09,unsprayed_h1_n40_freeze_153.5us,summary,26062282104.95553,0.00015350000000000002,completed_time_window,467,0.001,1920260.4900962422,freeze_probe
26318442.447543256,parcel_frozen,1273521607.3497722,0.0,9167202021.8913,1711809.098791284,11319.064404310668,0.002239529106610294,1.0732525979051388e-11,3.3166883239843514e-08,1.7853496458997142e-12,1.7853496458997142e-12,4.773028194904327e-09,unsprayed_h1_n40_freeze_153.5us,summary,26062282104.95553,0.00015350000000000002,completed_time_window,433,0.001,1858931.3806309274,freeze_probe
0.0,equilibrium,1273521650.7664595,0.0,8175401587.134674,1776283.4391255134,11468.647942347729,0.0,0.0,0.0,3.552713678800501e-15,1.7763568394002505e-15,3.14321368932724e-09,unsprayed_h1_n40_freeze_193us,summary,26062278250.30098,0.00019300000000000003,completed_time_window,340,0.001,1920260.4239301232,freeze_probe
29075235.69114225,parcel_frozen,1273521650.7664595,0.0,8175401587.134674,1776283.4391255134,8214.600530234431,0.0018876705308059627,2.1997514920713002e-11,3.7033851763013104e-08,2.5202062658991053e-12,2.5202062658991053e-12,5.238689482212067e-09,unsprayed_h1_n40_freeze_193us,summary,26062278250.30098,0.00019300000000000003,completed_time_window,329,0.001,1880066.765350636,freeze_probe
