case,closing_speed_m_s,k,projectile_kg,projectile_temperature_k,projectile_density_kg_m3,injection_speed_m_s,stored_water_temperature_k,stored_water_pressure_pa,liquid_energy_j_kg,energy_offset_j_kg,reference_match_temperature_k,reference_match_density_kg_m3,coolprop_version,mixed_density_kg_m3,merge_velocity_m_s,merge_heat_j,total_input_energy_j,mixed_internal_energy_j_kg,temperature_k,pressure_pa,bond_energy_j_kg,bond_fraction,ionization_energy_j_kg,thermal_energy_j_kg
2-synodic,61830.0,8.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,6870.0,42477210000.0,47418059118.57169,187148479.41587418,19710.638334181975,3730900.222950781,50938606.88076772,0.9999553259669907,80244757.10345705,55965115.43164943
2-synodic,61830.0,8.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,6870.0,42477210000.0,47418059118.57169,187148479.41587418,24596.329494832433,44799117.17226063,50923747.57787057,0.9996636289618696,69010692.5766221,67214039.2613815
2-synodic,61830.0,8.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,6870.0,42477210000.0,47418059118.57169,187148479.41587418,31385.293183384376,542598934.4014215,50798275.28770227,0.997200532844837,54795144.43601557,81555059.69215634
2-synodic,61830.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,6508.421052631579,42756665328.947365,47394138251.265335,178374494.02194822,19281.90101042005,3571736.0653401595,50938262.18043459,0.999948559293242,73858377.82864559,53577854.01286805
2-synodic,61830.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,6508.421052631579,42756665328.947365,47394138251.265335,178374494.02194822,23957.346460882356,42765899.89985697,50921539.72773016,0.9996202875428157,63287237.755253196,64165716.53896487
2-synodic,61830.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,6508.421052631579,42756665328.947365,47394138251.265335,178374494.02194822,30395.718592852652,516164300.41492075,50783618.653313264,0.9969128143437727,49990033.69376151,77600841.67487344
2-synodic,61830.0,9.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,6183.0,43008175125.0,47370217383.958984,170366125.03583595,18882.295546267276,3427752.005200635,50937901.831933536,0.9999414854365958,68009926.63001761,51418296.573884815
2-synodic,61830.0,9.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,6183.0,43008175125.0,47370217383.958984,170366125.03583595,23360.543982200536,40923637.22315238,50919245.73242708,0.9995752550426842,58043054.090288326,61403825.213120535
2-synodic,61830.0,9.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,6183.0,43008175125.0,47370217383.958984,170366125.03583595,29469.954332327645,492147586.0138355,50768480.19527838,0.9966156373562994,45588505.930745706,74009138.90981187
2-synodic,61830.0,10.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,5620.909090909091,43442601136.36363,47322375649.346275,156284056.49349058,18152.32955235422,3176614.7494117683,50937133.43304713,0.9999264013067779,57695270.79996579,47651652.260477655
